SampleName,Sex,BiosampleID,PopulationCode,PopulationName,SuperpopulationCode,SuperpopulationName
HG03066,male,SAME1839324,MSL,Mende,AFR,African Ancestry
HG03073,female,SAME1839019,MSL,Mende,AFR,African Ancestry
HG01102,female,SAME123678,PUR,Puerto Rican,AMR,American Ancestry
HG03039,male,SAME1839593,GWD,Gambian Mandinka,AFR,African Ancestry
HG01107,male,SAME123675,PUR,Puerto Rican,AMR,American Ancestry
HG03085,female,SAME1840328,MSL,"Mende,Mende",AFR,"African Ancestry,Africa (SGDP)"
HG03058,female,SAME1839442,MSL,Mende,AFR,African Ancestry
HG03060,male,SAME1839211,MSL,Mende,AFR,African Ancestry
HG03383,female,SAME1839583,MSL,Mende,AFR,African Ancestry
HG03388,male,SAME1839524,MSL,Mende,AFR,African Ancestry
HG01392,male,SAME1840234,PUR,Puerto Rican,AMR,American Ancestry
HG03077,male,SAME1839044,MSL,Mende,AFR,African Ancestry
HG03097,female,SAME1840130,MSL,Mende,AFR,African Ancestry
HG03100,male,SAME1840003,ESN,"Esan,Esan",AFR,"African Ancestry,Africa (SGDP)"
HG01412,male,SAME1839619,PUR,Puerto Rican,AMR,American Ancestry
HG03105,female,SAME1840041,ESN,Esan,AFR,African Ancestry
HG03112,male,SAME1839893,ESN,Esan,AFR,African Ancestry
HG01474,female,SAME1840189,CLM,Colombian,AMR,American Ancestry
HG03117,female,SAME1839821,ESN,Esan,AFR,African Ancestry
HG01479,male,SAME1840251,CLM,Colombian,AMR,American Ancestry
HG03091,female,SAME1840360,MSL,Mende,AFR,African Ancestry
HG03109,male,SAME1839765,ESN,Esan,AFR,African Ancestry
HG03111,female,SAME1839884,ESN,Esan,AFR,African Ancestry
HG03124,male,SAME1839669,ESN,Esan,AFR,African Ancestry
HG01551,female,SAME124008,CLM,Colombian,AMR,American Ancestry
HG01241,male,SAME125065,PUR,Puerto Rican,AMR,American Ancestry
HG03212,female,SAME1839399,MSL,Mende,AFR,African Ancestry
HG03193,male,SAME1839909,ESN,Esan,AFR,African Ancestry
HG03198,female,SAME1839933,ESN,Esan,AFR,African Ancestry
HG01258,male,SAME125279,CLM,Colombian,AMR,American Ancestry
HG03130,male,SAME1839365,ESN,Esan,AFR,African Ancestry
HG03410,female,SAME1839182,MSL,Mende,AFR,African Ancestry
HG03439,male,SAME1840213,MSL,Mende,AFR,African Ancestry
HG01284,female,SAME1839191,CLM,Colombian,AMR,American Ancestry
HG03159,female,SAME1839092,ESN,Esan,AFR,African Ancestry
HG01311,male,SAME1839796,PUR,Puerto Rican,AMR,American Ancestry
HG03307,male,SAME1839509,ESN,Esan,AFR,African Ancestry
HG01506,male,SAME124947,IBS,Iberian,EUR,European Ancestry
HG01513,female,SAME124768,IBS,Iberian,EUR,European Ancestry
HG01518,male,SAME124766,IBS,Iberian,EUR,European Ancestry
HG01525,female,SAME125328,IBS,Iberian,EUR,European Ancestry
HG01347,male,SAME124861,CLM,Colombian,AMR,American Ancestry
HG03301,male,SAME1839472,ESN,Esan,AFR,African Ancestry
HG03484,male,SAME1839393,MSL,Mende,AFR,African Ancestry
HG01455,male,SAME123429,CLM,Colombian,AMR,American Ancestry
HG03511,female,SAME1840131,ESN,Esan,AFR,African Ancestry
HG01366,female,SAME125265,CLM,Colombian,AMR,American Ancestry
HG03508,female,SAME1840286,ESN,Esan,AFR,African Ancestry
HG01602,female,SAME123454,IBS,Iberian,EUR,European Ancestry
HG03756,female,SAME1839080,STU,Tamil,SAS,South Asian Ancestry
HG03539,female,SAME1840014,GWD,Gambian Mandinka,AFR,African Ancestry
HG03394,male,SAME1839648,MSL,Mende,AFR,African Ancestry
HG03600,male,SAME1840215,BEB,Bengali,SAS,South Asian Ancestry
HG01948,female,SAME124144,PEL,Peruvian,AMR,American Ancestry
HG01950,male,SAME123977,PEL,Peruvian,AMR,American Ancestry
HG01967,male,SAME124530,PEL,Peruvian,AMR,American Ancestry
HG01765,male,SAME1839681,IBS,Iberian,EUR,European Ancestry
HG03577,male,SAME1839242,MSL,Mende,AFR,African Ancestry
HG01789,male,SAME124433,GBR,British,EUR,European Ancestry
HG03681,male,SAME1840321,STU,Tamil,SAS,South Asian Ancestry
HG03686,male,SAME1840335,STU,Tamil,SAS,South Asian Ancestry
HG01917,male,SAME123235,PEL,Peruvian,AMR,American Ancestry
HG01866,male,SAME123195,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03697,male,SAME1840137,STU,Tamil,SAS,South Asian Ancestry
HG01873,male,SAME123400,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03705,male,SAME1840051,PJL,Punjabi,SAS,South Asian Ancestry
HG01880,female,SAME1839109,ACB,African Caribbean,AFR,African Ancestry
HG03650,female,SAME1839488,PJL,Punjabi,SAS,South Asian Ancestry
HG00381,female,SAME123030,FIN,Finnish,EUR,European Ancestry
HG01626,female,SAME123842,IBS,Iberian,EUR,European Ancestry
HG00418,male,SAME122992,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00420,male,SAME122807,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG03794,male,SAME1839920,BEB,Bengali,SAS,South Asian Ancestry
HG01676,female,SAME123284,IBS,Iberian,EUR,European Ancestry
HG03802,female,SAME1839608,BEB,Bengali,SAS,South Asian Ancestry
HG01791,male,SAME124221,GBR,British,EUR,European Ancestry
HG00139,male,SAME123060,GBR,British,EUR,European Ancestry
HG01796,female,SAME124220,CDX,Dai Chinese,EAS,East Asian Ancestry
HG00141,male,SAME124395,GBR,British,EUR,European Ancestry
HG03673,female,SAME1839030,STU,Tamil,SAS,South Asian Ancestry
HG00146,female,SAME124390,GBR,British,EUR,European Ancestry
HG01809,female,SAME124299,CDX,Dai Chinese,EAS,East Asian Ancestry
HG03457,male,SAME1839781,MSL,Mende,AFR,African Ancestry
HG00158,female,SAME124585,GBR,British,EUR,European Ancestry
HG03821,male,SAME1839449,BEB,Bengali,SAS,South Asian Ancestry
HG03476,female,SAME1839702,MSL,Mende,AFR,African Ancestry
HG03604,female,SAME1840236,BEB,Bengali,SAS,South Asian Ancestry
HG00235,female,SAME124122,GBR,British,EUR,European Ancestry
HG00242,male,SAME123223,GBR,British,EUR,European Ancestry
HG00247,female,SAME123220,GBR,British,EUR,European Ancestry
HG00254,female,SAME123050,GBR,British,EUR,European Ancestry
HG03729,male,SAME1839701,ITU,Telugu,SAS,South Asian Ancestry
HG01859,female,SAME123535,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG00261,female,SAME123583,GBR,British,EUR,European Ancestry
HG04146,male,SAME1839108,BEB,Bengali,SAS,South Asian Ancestry
HG00312,male,SAME124336,FIN,Finnish,EUR,European Ancestry
HG00324,female,SAME123794,FIN,Finnish,EUR,European Ancestry
HG03838,female,SAME1839297,STU,Tamil,SAS,South Asian Ancestry
HG04070,female,SAME1840411,ITU,Telugu,SAS,South Asian Ancestry
HG00336,male,SAME123983,FIN,Finnish,EUR,European Ancestry
HG02009,male,SAME123622,ACB,African Caribbean,AFR,African Ancestry
HG00103,male,SAME125151,GBR,British,EUR,European Ancestry
HG04099,female,SAME1840065,STU,Tamil,SAS,South Asian Ancestry
HG03869,male,SAME1840104,ITU,Telugu,SAS,South Asian Ancestry
HG03871,male,SAME1840200,ITU,Telugu,SAS,South Asian Ancestry
HG03882,female,SAME1839999,ITU,Telugu,SAS,South Asian Ancestry
HG03941,male,SAME1840353,BEB,Bengali,SAS,South Asian Ancestry
HG03894,female,SAME1839885,STU,Tamil,SAS,South Asian Ancestry
HG03965,male,SAME1840063,ITU,Telugu,SAS,South Asian Ancestry
HG00273,male,SAME123419,FIN,Finnish,EUR,European Ancestry
HG02143,male,SAME1839628,ACB,African Caribbean,AFR,African Ancestry
HG03972,female,SAME1839721,ITU,Telugu,SAS,South Asian Ancestry
HG00278,male,SAME123425,FIN,Finnish,EUR,European Ancestry
HG03977,female,SAME1839746,ITU,Telugu,SAS,South Asian Ancestry
HG03990,male,SAME1839637,STU,Tamil,SAS,South Asian Ancestry
HG02155,female,SAME124795,CDX,Dai Chinese,EAS,East Asian Ancestry
HG04177,female,SAME1839992,BEB,Bengali,SAS,South Asian Ancestry
HG02105,female,SAME123873,PEL,Peruvian,AMR,American Ancestry
HG04006,male,SAME1839787,STU,Tamil,SAS,South Asian Ancestry
HG04018,female,SAME1839565,ITU,Telugu,SAS,South Asian Ancestry
HG00367,female,SAME124540,FIN,Finnish,EUR,European Ancestry
HG04020,male,SAME1839685,ITU,Telugu,SAS,South Asian Ancestry
HG04191,male,SAME1839897,BEB,Bengali,SAS,South Asian Ancestry
HG02136,female,SAME1839865,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG04025,female,SAME1839614,ITU,Telugu,SAS,South Asian Ancestry
HG03837,male,SAME1839291,STU,Tamil,SAS,South Asian Ancestry
HG03888,female,SAME1840039,STU,Tamil,SAS,South Asian Ancestry
HG03844,male,SAME1839166,STU,Tamil,SAS,South Asian Ancestry
HG03890,male,SAME1839864,STU,Tamil,SAS,South Asian Ancestry
HG03895,female,SAME1839888,STU,Tamil,SAS,South Asian Ancestry
HG03856,male,SAME1840291,STU,Tamil,SAS,South Asian Ancestry
HG03863,female,SAME1840162,ITU,Telugu,SAS,South Asian Ancestry
HG03870,male,SAME1840196,ITU,Telugu,SAS,South Asian Ancestry
HG00759,female,SAME125020,CDX,Dai Chinese,EAS,East Asian Ancestry
HG04140,male,SAME1839173,BEB,Bengali,SAS,South Asian Ancestry
HG00766,female,SAME124458,CDX,Dai Chinese,EAS,East Asian Ancestry
HG03781,female,SAME1840117,ITU,Telugu,SAS,South Asian Ancestry
HG02275,female,SAME1840376,PEL,Peruvian,AMR,American Ancestry
HG03786,male,SAME1840218,ITU,Telugu,SAS,South Asian Ancestry
HG04014,female,SAME1839844,ITU,Telugu,SAS,South Asian Ancestry
HG00881,male,SAME123540,CDX,Dai Chinese,EAS,East Asian Ancestry
HG03793,female,SAME1839915,BEB,Bengali,SAS,South Asian Ancestry
HG00982,male,SAME123770,CDX,Dai Chinese,EAS,East Asian Ancestry
HG02016,female,SAME123446,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG02580,female,SAME1839366,ACB,African Caribbean,AFR,African Ancestry
HG02585,male,SAME1839418,GWD,Gambian Mandinka,AFR,African Ancestry
HG00641,female,SAME123435,PUR,Puerto Rican,AMR,American Ancestry
HG02597,male,SAME1839199,PJL,Punjabi,SAS,South Asian Ancestry
HG02600,male,SAME1840302,PJL,Punjabi,SAS,South Asian Ancestry
HG03940,female,SAME1840346,BEB,Bengali,SAS,South Asian Ancestry
HG00684,female,SAME123890,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG03976,male,SAME1839739,ITU,Telugu,SAS,South Asian Ancestry
NA12878,female,SAME123392,CEU,CEPH,EUR,European Ancestry
NA12892,female,SAME123181,CEU,CEPH,EUR,European Ancestry
HG00449,female,SAME123885,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG02307,male,SAME1839535,ACB,African Caribbean,AFR,African Ancestry
HG02314,male,SAME1839674,ACB,African Caribbean,AFR,African Ancestry
HG00475,male,SAME123342,CHS,Southern Han Chinese,EAS,East Asian Ancestry
NA06989,female,SAME124760,CEU,CEPH,EUR,European Ancestry
HG01048,male,SAME123169,PUR,Puerto Rican,AMR,American Ancestry
HG02410,male,SAME1839207,CDX,Dai Chinese,EAS,East Asian Ancestry
NA07014,female,SAME125162,CEU,CEPH,EUR,European Ancestry
HG01055,female,SAME123638,PUR,Puerto Rican,AMR,American Ancestry
NA07019,female,SAME125152,CEU,CEPH,EUR,European Ancestry
NA07348,female,SAME123567,CEU,CEPH,EUR,European Ancestry
HG00608,female,SAME125369,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00610,male,SAME125199,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG02643,female,SAME1839785,GWD,Gambian Mandinka,AFR,African Ancestry
HG00622,male,SAME1839278,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG00634,male,SAME122903,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG02554,male,SAME1840075,ACB,African Caribbean,AFR,African Ancestry
NA12877,male,SAME123391,CEU,CEPH,EUR,European Ancestry
NA18504,male,SAME125061,YRI,Yoruba,AFR,African Ancestry
NA12889,male,SAME123951,CEU,CEPH,EUR,European Ancestry
HG02561,male,SAME1839838,GWD,Gambian Mandinka,AFR,African Ancestry
NA12891,male,SAME124117,CEU,CEPH,EUR,European Ancestry
HG02573,male,SAME1839567,GWD,Gambian Mandinka,AFR,African Ancestry
NA18516,male,SAME124884,YRI,Yoruba,AFR,African Ancestry
HG02477,female,SAME1839710,ACB,African Caribbean,AFR,African Ancestry
NA18523,female,SAME124670,YRI,Yoruba,AFR,African Ancestry
NA18528,female,SAME124661,CHB,Han Chinese,EAS,East Asian Ancestry
HG00583,male,SAME124829,CHS,Southern Han Chinese,EAS,East Asian Ancestry
HG02496,male,SAME1839688,ACB,African Caribbean,AFR,African Ancestry
HG01086,female,SAME125394,PUR,Puerto Rican,AMR,American Ancestry
HG02364,male,SAME1840125,CDX,Dai Chinese,EAS,East Asian Ancestry
HG01101,male,SAME123677,PUR,Puerto Rican,AMR,American Ancestry
NA12335,male,SAME124097,CEU,CEPH,EUR,European Ancestry
HG04210,male,SAME1839225,STU,Tamil,SAS,South Asian Ancestry
HG02390,male,SAME1839788,CDX,Dai Chinese,EAS,East Asian Ancestry
HG01308,male,SAME1840002,PUR,Puerto Rican,AMR,American Ancestry
HG04227,female,SAME1839056,STU,Tamil,SAS,South Asian Ancestry
HG02953,male,SAME1840271,ESN,Esan,AFR,African Ancestry
HG01341,male,SAME124859,CLM,Colombian,AMR,American Ancestry
HG01377,male,SAME124288,CLM,Colombian,AMR,American Ancestry
HG01384,female,SAME122969,CLM,Colombian,AMR,American Ancestry
HG01389,male,SAME122972,CLM,Colombian,AMR,American Ancestry
HG04183,female,SAME1840044,BEB,Bengali,SAS,South Asian Ancestry
HG03019,female,SAME1840060,PJL,Punjabi,SAS,South Asian Ancestry
HG01396,female,SAME1839954,PUR,Puerto Rican,AMR,American Ancestry
NA10839,female,SAME124551,CEU,CEPH,EUR,European Ancestry
HG01447,female,SAME1839099,CLM,Colombian,AMR,American Ancestry
HG03052,female,SAME1839496,MSL,Mende,AFR,African Ancestry
HG02895,male,SAME1839918,GWD,Gambian Mandinka,AFR,African Ancestry
HG02922,female,SAME1839441,ESN,Esan,AFR,African Ancestry
NA18941,female,SAME124311,JPT,Japanese,EAS,East Asian Ancestry
NA18946,female,SAME124312,JPT,Japanese,EAS,East Asian Ancestry
NA10852,female,SAME125320,CEU,CEPH,EUR,European Ancestry
HG01492,female,SAME124137,CLM,Colombian,AMR,American Ancestry
NA10857,male,SAME125332,CEU,CEPH,EUR,European Ancestry
HG01500,male,SAME124941,IBS,Iberian,EUR,European Ancestry
HG01168,female,SAME124796,PUR,Puerto Rican,AMR,American Ancestry
NA18940,male,SAME124310,JPT,"Japanese,Japanese",EAS,"East Asia (SGDP),East Asian Ancestry"
HG02679,female,SAME1839471,GWD,Gambian Mandinka,AFR,African Ancestry
HG02681,male,SAME1839304,PJL,Punjabi,SAS,South Asian Ancestry
NA18539,female,SAME124475,CHB,Han Chinese,EAS,East Asian Ancestry
HG01187,male,SAME124783,PUR,Puerto Rican,AMR,American Ancestry
HG02737,female,SAME1839857,PJL,Punjabi,SAS,South Asian Ancestry
NA18546,male,SAME124263,CHB,Han Chinese,EAS,East Asian Ancestry
NA18553,female,SAME124088,CHB,Han Chinese,EAS,East Asian Ancestry
HG01257,female,SAME125288,CLM,Colombian,AMR,American Ancestry
HG02768,male,SAME1839235,GWD,Gambian Mandinka,AFR,African Ancestry
HG01269,female,SAME1839257,CLM,Colombian,AMR,American Ancestry
NA18566,female,SAME123923,CHB,Han Chinese,EAS,East Asian Ancestry
NA18510,male,SAME124886,YRI,Yoruba,AFR,African Ancestry
NA18592,female,SAME123721,CHB,Han Chinese,EAS,East Asian Ancestry
HG01137,female,SAME123888,CLM,Colombian,AMR,American Ancestry
NA18605,male,SAME124877,CHB,Han Chinese,EAS,East Asian Ancestry
NA18530,male,SAME124484,CHB,Han Chinese,EAS,East Asian Ancestry
NA18868,male,SAME124910,YRI,Yoruba,AFR,African Ancestry
NA18612,male,SAME125036,CHB,Han Chinese,EAS,East Asian Ancestry
HG01550,male,SAME124009,CLM,Colombian,AMR,American Ancestry
HG03057,male,SAME1839434,MSL,Mende,AFR,African Ancestry
NA18616,female,SAME125032,CHB,Han Chinese,EAS,East Asian Ancestry
NA18623,male,SAME124507,CHB,Han Chinese,EAS,East Asian Ancestry
NA18989,male,SAME125079,JPT,Japanese,EAS,East Asian Ancestry
HG01586,male,SAME1839879,PJL,Punjabi,SAS,South Asian Ancestry
HG03076,female,SAME1839038,MSL,Mende,AFR,African Ancestry
HG01815,female,SAME124524,CDX,Dai Chinese,EAS,East Asian Ancestry
NA18565,female,SAME123922,CHB,Han Chinese,EAS,East Asian Ancestry
NA18953,male,SAME124113,JPT,Japanese,EAS,East Asian Ancestry
NA18960,male,SAME123956,JPT,Japanese,EAS,East Asian Ancestry
HG01846,male,SAME123558,KHV,"Kinh,Kinh Vietnamese",EAS,"East Asia (SGDP),East Asian Ancestry"
NA18577,female,SAME123734,CHB,Han Chinese,EAS,East Asian Ancestry
NA18965,male,SAME123961,JPT,Japanese,EAS,East Asian Ancestry
HG01853,female,SAME123751,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
NA18591,female,SAME123719,CHB,Han Chinese,EAS,East Asian Ancestry
NA18972,female,SAME123762,JPT,Japanese,EAS,East Asian Ancestry
NA18977,male,SAME123765,JPT,Japanese,EAS,East Asian Ancestry
HG03247,female,SAME1839174,GWD,Gambian Mandinka,AFR,African Ancestry
NA19146,male,SAME125080,YRI,Yoruba,AFR,African Ancestry
HG01512,male,SAME124769,IBS,Iberian,EUR,European Ancestry
NA19153,male,SAME123019,YRI,Yoruba,AFR,African Ancestry
HG03172,male,SAME1840392,ESN,Esan,AFR,African Ancestry
NA18969,female,SAME123954,JPT,Japanese,EAS,East Asian Ancestry
HG03189,female,SAME1840226,ESN,Esan,AFR,African Ancestry
NA18971,male,SAME123763,JPT,Japanese,EAS,East Asian Ancestry
HG01598,female,SAME125239,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
NA18642,female,SAME122982,CHB,Han Chinese,EAS,East Asian Ancestry
NA19189,male,SAME123869,YRI,Yoruba,AFR,African Ancestry
HG01606,male,SAME123458,IBS,Iberian,EUR,European Ancestry
HG03228,male,SAME1839232,PJL,Punjabi,SAS,South Asian Ancestry
HG03393,female,SAME1839645,MSL,Mende,AFR,African Ancestry
NA18983,male,SAME125074,JPT,Japanese,EAS,East Asian Ancestry
NA19331,male,SAME123250,LWK,Luhya,AFR,African Ancestry
NA19350,male,SAME122853,LWK,Luhya,AFR,African Ancestry
HG03437,female,SAME1840123,MSL,Mende,AFR,African Ancestry
NA19355,female,SAME124077,LWK,Luhya,AFR,African Ancestry
HG03449,female,SAME1839923,MSL,Mende,AFR,African Ancestry
HG01776,female,SAME124632,IBS,Iberian,EUR,European Ancestry
HG01865,male,SAME123196,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
NA19068,male,SAME123012,JPT,Japanese,EAS,East Asian Ancestry
HG01872,male,SAME123995,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03103,male,SAME1840022,ESN,Esan,AFR,African Ancestry
NA19070,male,SAME122820,JPT,Japanese,EAS,East Asian Ancestry
HG03108,female,SAME1839760,ESN,Esan,AFR,African Ancestry
NA19122,female,SAME125014,YRI,Yoruba,AFR,African Ancestry
NA19127,female,SAME125017,YRI,Yoruba,AFR,African Ancestry
HG03115,male,SAME1839812,ESN,Esan,AFR,African Ancestry
HG01694,male,SAME124844,IBS,Iberian,EUR,European Ancestry
HG01699,male,SAME1839210,IBS,Iberian,EUR,European Ancestry
HG03127,male,SAME1839686,ESN,Esan,AFR,African Ancestry
NA19114,female,SAME122953,YRI,Yoruba,AFR,African Ancestry
NA19119,male,SAME122944,YRI,Yoruba,AFR,African Ancestry
HG03470,female,SAME1839670,MSL,Mende,AFR,African Ancestry
NA19019,female,SAME124000,LWK,Luhya,AFR,African Ancestry
HG02089,female,SAME124821,PEL,Peruvian,AMR,American Ancestry
HG03300,female,SAME1839467,ESN,Esan,AFR,African Ancestry
HG02111,female,SAME1839922,ACB,African Caribbean,AFR,African Ancestry
HG02116,male,SAME1839990,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG02128,male,SAME123475,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG02130,female,SAME1839904,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03499,female,SAME1839219,ESN,Esan,AFR,African Ancestry
HG01935,male,SAME123588,PEL,Peruvian,AMR,American Ancestry
NA19037,female,SAME124665,LWK,Luhya,AFR,African Ancestry
NA19449,female,SAME122946,LWK,Luhya,AFR,African Ancestry
HG01942,female,SAME124150,PEL,Peruvian,AMR,American Ancestry
HG03521,male,SAME1840190,ESN,Esan,AFR,African Ancestry
NA18988,male,SAME125078,JPT,Japanese,EAS,East Asian Ancestry
HG01947,male,SAME124155,PEL,Peruvian,AMR,American Ancestry
NA19463,female,SAME123297,LWK,Luhya,AFR,African Ancestry
NA19001,female,SAME124478,JPT,Japanese,EAS,East Asian Ancestry
HG01961,male,SAME1839067,PEL,Peruvian,AMR,American Ancestry
HG01985,female,SAME1840099,ACB,African Caribbean,AFR,African Ancestry
HG03639,male,SAME1839603,PJL,Punjabi,SAS,South Asian Ancestry
HG01992,female,SAME124742,PEL,Peruvian,AMR,American Ancestry
HG01997,female,SAME124740,PEL,Peruvian,AMR,American Ancestry
NA19328,female,SAME123463,LWK,Luhya,AFR,African Ancestry
HG02003,female,SAME123619,PEL,Peruvian,AMR,American Ancestry
NA19347,male,SAME124340,LWK,Luhya,AFR,African Ancestry
NA19901,female,SAME125049,ASW,African Ancestry SW,AFR,African Ancestry
HG02010,female,SAME123444,ACB,African Caribbean,AFR,African Ancestry
HG03672,male,SAME1839020,STU,Tamil,SAS,South Asian Ancestry
NA19723,male,SAME124695,MXL,Mexican Ancestry,AMR,American Ancestry
HG01896,female,SAME1840348,ACB,African Caribbean,AFR,African Ancestry
NA19728,female,SAME124702,MXL,Mexican Ancestry,AMR,American Ancestry
NA19789,male,SAME123152,MXL,Mexican Ancestry,AMR,American Ancestry
HG01923,male,SAME123788,PEL,Peruvian,AMR,American Ancestry
NA19735,male,SAME124874,MXL,Mexican Ancestry,AMR,American Ancestry
NA19828,male,SAME125246,ASW,African Ancestry SW,AFR,African Ancestry
HG02058,male,SAME125319,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
NA19835,female,SAME125029,ASW,African Ancestry SW,AFR,African Ancestry
NA19747,male,SAME123501,MXL,Mexican Ancestry,AMR,American Ancestry
HG02060,female,SAME1839679,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03595,female,SAME1839185,BEB,Bengali,SAS,South Asian Ancestry
NA19900,male,SAME125050,ASW,African Ancestry SW,AFR,African Ancestry
HG02072,female,SAME123105,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03709,female,SAME1839780,PJL,Punjabi,SAS,South Asian Ancestry
NA19759,male,SAME123707,MXL,Mexican Ancestry,AMR,American Ancestry
HG03711,male,SAME1839894,STU,Tamil,SAS,South Asian Ancestry
NA19652,male,SAME124978,MXL,Mexican Ancestry,AMR,American Ancestry
NA19657,female,SAME123129,MXL,Mexican Ancestry,AMR,American Ancestry
NA19664,male,SAME122955,MXL,Mexican Ancestry,AMR,American Ancestry
HG03730,female,SAME1839369,ITU,Telugu,SAS,South Asian Ancestry
NA19669,female,SAME123903,MXL,Mexican Ancestry,AMR,American Ancestry
HG02053,male,SAME1839543,ACB,African Caribbean,AFR,African Ancestry
HG03742,male,SAME1839255,ITU,Telugu,SAS,South Asian Ancestry
NA19676,male,SAME122790,MXL,Mexican Ancestry,AMR,American Ancestry
HG03761,male,SAME1839114,PJL,Punjabi,SAS,South Asian Ancestry
NA19658,male,SAME123132,MXL,Mexican Ancestry,AMR,American Ancestry
NA19734,female,SAME124873,MXL,Mexican Ancestry,AMR,American Ancestry
NA19660,female,SAME122958,MXL,Mexican Ancestry,AMR,American Ancestry
HG03689,female,SAME1840268,STU,Tamil,SAS,South Asian Ancestry
NA19753,male,SAME123701,MXL,Mexican Ancestry,AMR,American Ancestry
HG02445,male,SAME1840341,ACB,African Caribbean,AFR,African Ancestry
NA20294,female,SAME124776,ASW,African Ancestry SW,AFR,African Ancestry
HG02318,female,SAME1839391,ACB,African Caribbean,AFR,African Ancestry
HG03780,female,SAME1840112,ITU,Telugu,SAS,South Asian Ancestry
HG02325,female,SAME1839521,ACB,African Caribbean,AFR,African Ancestry
HG02332,male,SAME1839315,ACB,African Caribbean,AFR,African Ancestry
HG03792,male,SAME1839912,ITU,Telugu,SAS,South Asian Ancestry
NA20281,male,SAME124584,ASW,African Ancestry SW,AFR,African Ancestry
NA20314,female,SAME125304,ASW,African Ancestry SW,AFR,African Ancestry
HG02337,female,SAME1839296,ACB,African Caribbean,AFR,African Ancestry
HG03797,male,SAME1839931,BEB,Bengali,SAS,South Asian Ancestry
NA19758,female,SAME123706,MXL,Mexican Ancestry,AMR,American Ancestry
NA19393,male,SAME124496,LWK,Luhya,AFR,African Ancestry
HG03800,male,SAME1839595,BEB,Bengali,SAS,South Asian Ancestry
NA19398,female,SAME124497,LWK,Luhya,AFR,African Ancestry
HG03805,female,SAME1839540,BEB,Bengali,SAS,South Asian Ancestry
HG03812,male,SAME1839405,BEB,Bengali,SAS,South Asian Ancestry
NA19432,female,SAME123855,LWK,Luhya,AFR,African Ancestry
HG03824,male,SAME1839459,BEB,Bengali,SAS,South Asian Ancestry
NA19385,male,SAME124271,LWK,Luhya,AFR,African Ancestry
HG02250,male,SAME1839268,CDX,Dai Chinese,EAS,East Asian Ancestry
NA19397,male,SAME124492,LWK,Luhya,AFR,African Ancestry
NA19711,male,SAME124446,ASW,African Ancestry SW,AFR,African Ancestry
HG02274,male,SAME1840306,PEL,Peruvian,AMR,American Ancestry
HG02180,female,SAME123208,CDX,Dai Chinese,EAS,East Asian Ancestry
HG04118,female,SAME1839379,ITU,Telugu,SAS,South Asian Ancestry
HG04132,female,SAME1839287,BEB,Bengali,SAS,South Asian Ancestry
NA20357,female,SAME124599,ASW,African Ancestry SW,AFR,African Ancestry
HG02224,male,SAME1839579,IBS,Iberian,EUR,European Ancestry
HG04149,male,SAME1839120,BEB,Bengali,SAS,South Asian Ancestry
NA20504,female,SAME124360,TSI,Toscani,EUR,European Ancestry
HG02231,male,SAME1839376,IBS,Iberian,EUR,European Ancestry
HG04156,female,SAME1840389,BEB,Bengali,SAS,South Asian Ancestry
HG02522,female,SAME1840326,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
HG03999,male,SAME1839416,STU,Tamil,SAS,South Asian Ancestry
NA19703,male,SAME124230,ASW,African Ancestry SW,AFR,African Ancestry
HG04017,male,SAME1839851,ITU,Telugu,SAS,South Asian Ancestry
HG02546,female,SAME1839932,ACB,African Caribbean,AFR,African Ancestry
HG04024,female,SAME1839708,ITU,Telugu,SAS,South Asian Ancestry
NA20363,female,SAME124787,ASW,African Ancestry SW,AFR,African Ancestry
HG02558,female,SAME1840057,ACB,African Caribbean,AFR,African Ancestry
NA20503,female,SAME124357,TSI,Toscani,EUR,European Ancestry
HG03886,female,SAME1840021,STU,Tamil,SAS,South Asian Ancestry
NA20852,male,SAME123244,GIH,Gujarati,SAS,South Asian Ancestry
NA20888,female,SAME125258,GIH,Gujarati,SAS,South Asian Ancestry
